143,60,1
176,78,0
183,72,0
184,78,0
132,55,1
150,66,1
191,84,0
135,47,1
185,72,0
180,66,0
186,84,0
178,52,0
125,49,1
135,57,1
162,63,1
147,75,1
169,69,0
180,59,0
173,92,0
183,84,0
136,75,1
177,62,0
170,63,0
142,45,1
151,51,1
150,56,1
123,67,1
171,73,0
180,93,0
147,59,1
146,92,1
145,71,0
139,58,1
183,91,0
178,66,0
174,70,0
150,67,1
167,69,0
153,48,1
170,70,0
136,40,1
146,51,1
165,77,1
160,69,0
174,86,0
162,54,1
171,97,0
154,64,0
164,76,0
152,70,1
173,77,0
164,61,0
157,68,1
158,92,0
181,96,0
175,77,0
156,87,0
180,71,0
180,74,0
144,54,1
147,77,1
153,63,1
142,82,0
166,88,0
163,78,0
167,62,0
143,71,1
161,76,1
168,100,0
169,107,0
183,97,0
157,54,0
144,58,1
150,79,1
164,61,0
155,79,1
143,72,1
177,76,0
168,46,1
142,64,1
174,87,0
166,51,1
160,48,1
148,49,1
146,59,1
159,58,0
181,103,0
166,102,0
173,70,0
154,64,1
156,53,1
144,61,1
168,55,0
135,62,1
177,98,0
168,68,0
176,76,0
147,72,1
143,70,1
184,101,0
180,83,0
151,61,1
144,65,1
172,81,0
171,72,0
148,53,1
145,50,1
164,83,1
160,58,1
152,65,1
163,78,1
150,72,1
148,61,1
159,84,1
162,69,1
160,57,1
158,86,1
178,92,0
158,77,1
153,35,1
131,74,1
155,75,0
183,64,0
158,44,1
173,75,0
139,76,1
178,78,0
164,129,0
178,113,0
143,59,1
134,61,1
139,51,1
161,46,1
160,75,0
158,49,1
169,83,0
171,57,0
164,72,1
145,66,1
161,51,0
173,86,0
161,50,1
163,55,1
171,80,0
171,69,0
164,41,0
168,70,0
153,58,1
173,118,0
199,56,0
142,64,1
144,68,1
165,91,0
159,75,0
165,87,0
163,77,0
158,46,1
157,76,1
167,68,0
149,62,1
185,78,0
174,54,0
187,82,0
181,70,0
171,75,1
154,57,1
144,50,1
173,82,0
171,70,0
165,75,0
139,55,1
171,75,0
147,68,1
177,86,0
131,84,1
168,74,0
164,75,0
151,86,1
189,69,0
177,86,0
144,61,1
190,97,0
134,62,1
177,76,0
179,78,0
142,61,1
152,73,0
178,48,0
171,55,0
183,71,0
152,72,1
171,60,0
149,62,1
154,82,0
166,83,0
146,44,1
161,72,1
156,58,1
133,66,1
131,48,1
155,77,1
149,93,0
168,64,1
173,55,0
145,46,1
